Elead ID,City,State,Zip,Bought Veh,Bought Veh Model,Bought Veh Trim,Bought Veh Price,Sale Date,Stock#,Vin#
7091822,KENNESAW,GA,30152,Mercedes-Benz,C-Class,C320 4dr Sedan,31344,7/16/04,5121,WDBRF64J01F065908
7091826,TAYLORSVILLE,KY,40071,Ford,Explorer,Eddie Bauer 4dr 4x4,19250,7/17/04,5251B,1FMZU74E42ZB74349
7091827,BYRON,GA,31008,Toyota,Sienna,,9000,7/19/04,5276,4T3ZF13C6XU090648
7091828,MABLETON,GA,30126,BMW,325,i (A4) 2dr Convertible,11650,7/20/04,5343A,WBABJ6322SJD42598
7091830,ATLANTA,GA,30349,Jaguar,S-Type,4.0L V8 4dr Sedan,23390,7/20/04,5298,SAJDA01P61GM10810
7091831,ROME,GA,30165,Jaguar,X-Type,,19601,7/20/04,5259,SAJEA51D72XC16167
7091832,ATLANTA,GA,30328,Mercedes-Benz,C-Class,C240 4dr Sedan,25800,7/21/04,5371,WDBRF61J62F227093
7091833,SAVANNAH,GA,31411,Mercedes-Benz,SL-Class,SL500 2dr Roadster,77000,7/21/04,5345,WDBSK75F23F033865
7091835,CAPE CORAL,FL,33993,Chevrolet,Corvette,Base 2dr Convertible,34500,7/22/04,5209A,1G1YY32G715127848
7091837,MURRIETA,CA,92563,Porsche,911,,43300,7/22/04,5339,WP0AA2993YS622431
7091840,COVINGTON,GA,30014,Mercedes-Benz,SLK-Class,SLK230 2dr Roadster,19800,7/23/04,5087,WDBKK47F4WF079813
7091842,MESA,AZ,85205,BMW,530,i 4dr Sedan,49945,7/24/04,5315,WBANA73564B802983
7091843,ATLANTA,GA,30331,Mercedes-Benz,E-Class,,33900,7/24/04,5225,WDBJF65J61B326736
7091845,MARIETTA,GA,30062,Porsche,Boxster,Base 2dr Rear-wheel Drive Convertible,32900,7/24/04,5378,WP0CA29802U620289
7091847,WATERFORD,CT,6385,Mercedes-Benz,CLK-Class,CLK430 2dr Convertible,42000,7/26/04,5221,WDBLK70G23T134345
7091848,WESTBURY,NY,11590,Mercedes-Benz,C-Class,C240 4dr Sedan,21900,7/26/04,5208,WDBRF61JX1F093185
7091849,ALEXANDRIA,VA,22304,INFINITI,G35,,30800,7/26/04,5356,JNKCV54E03M221983
7091853,GRAYSON,GA,30017,Chevrolet,Tahoe,,25500,7/27/04,5121A,1GNEC13Z43J189612
7091854,MARIETTA,GA,30067,Mercedes-Benz,M-Class,ML500 4dr All-wheel Drive,31900,7/27/04,5374,4JGAB75E52A305921
7091857,LOS ALTOS,CA,94022,Mercedes-Benz,E-Class,4M E320 4dr All-wheel Drive Station Wagon,32700,7/27/04,5365,WDBJH82J42X067565
7091858,GERMANTOWN,WI,53022,Lexus,LS 430,Base 4dr Sedan,28900,7/27/04,5345A,JTHBN30F010019681
7091859,MARTINEZ,CA,94553,BMW,323,Ci 2dr Coupe,21900,7/27/04,5302,WBABM3345YJN65246
7091860,GOLETA,CA,93117,Porsche,911,,51350,7/27/04,5085,WP0CA29981S651728
7091861,BOONE,NC,28607,Land Rover,Defender,Soft Top 4x4 Sport Utility,24345,7/28/04,5324A,SALDV2286SA971771
7091863,MARIETTA,GA,30068,Jaguar,XJ8,Vanden Plas 4dr Sedan,16900,7/28/04,5401,SAJKX6246WC825783
7091864,ACWORTH,GA,30101,BMW,745,i 4dr Sedan,50900,7/28/04,5206,WBAGL63482DP54036
7091866,DALLAS,GA,30132,BMW,330,i 4dr Rear-wheel Drive Sedan,27045,7/29/04,5369,WBAEV53462KM15430
7091868,PALM HARBOR,FL,34685,Mercedes-Benz,CLK-Class,CLK55 AMG 2dr Coupe,37601,7/29/04,5380,WDBLJ74G61F168295
7091871,SOMERS POINT,NJ,8244,Mercedes-Benz,CLK-Class,CLK430 2dr Convertible,46301,7/31/04,5360,WDBLK70G52T109065
7091872,KNOXVILLE,TN,37922,Mercedes-Benz,S-Class,S500 4dr Sedan,45400,7/31/04,5395,WDBNG75J51A193042
7091873,MEMPHIS,TN,38115,BMW,740,iLong Wheel Base 4dr Sedan,34900,7/31/04,5392,WBAGH83401DP31829
7091877,RAMER,TN,38367,MINI,Cooper,Base 2dr Hatchback,19401,8/2/04,5367,WMWRC33492TC34640
7091879,COHUTTA,GA,30710,BMW,325,Ci 2dr Convertible,34490,8/2/04,5284,WBABS33481JY57520
7091880,ATLANTA,GA,30339,Mercedes-Benz,C-Class,C320 4dr Station Wagon,25400,8/3/04,5390,WDBRH64J12F229095
7091882,RALEIGH,NC,27624,BMW,745,Li 4dr Sedan,69500,8/3/04,5363,WBAGN634X4DS50195
7091884,SIMPSONVILLE,SC,29681,Jeep,Grand Cherokee,Limited 4dr 4x4,14400,8/4/04,5330A,1J4GW58NX1C649633
7091886,KANSAS CITY,MO,64111,Saab,5-Sep,Aero 4dr Sedan,29400,8/4/04,5195,YS3EH49G133012532
7091887,RALEIGH,NC,27612,Audi,allroad,,28900,8/4/04,5078,WAUYP64B51N143895
7091888,HATTIESBURG,MS,39402,Porsche,911,,95500,8/4/04,5135,WP0AB29912S686889
7091889,ATLANTA,GA,30306,Mercedes-Benz,C-Class,C240 4dr Sedan,22000,8/5/04,5240,WDBRF61J31F098678
7091890,ATLANTA,GA,30327,Mercedes-Benz,S-Class,S500 4dr Rear-wheel Drive Sedan,74500,8/5/04,5172,WDBNG75JX3A343567
7091895,FORT WORTH,TX,76135,Audi,A4,,22500,8/6/04,5331,WAUJC68E83A106402
7091898,BOULDER,CO,80302,Porsche,911,,41200,8/7/04,5451,WP0CA2996XS651610
7091899,STATEN ISLAND,NY,10306,Mercedes-Benz,S-Class,S600 4dr Sedan,54700,8/7/04,5412,WDBNG78J32A254191
7091900,KNOXVILLE,TN,37931,Jaguar,S-Type,,35800,8/7/04,5357,SAJEA01U53HM46642
