Elead ID,Source Type,Lead Provider,SubSource,Sale Date,Stock#,Vin#
29057158,Phone Up,AutoTrader,,3/18/19,16718A,JTHBE1BL9D5014123
29081577,Showroom Up,Autotrader,,3/18/19,16623A,3GTU2WEC1FG209138
29085029,Showroom Up,Autotrader,,3/18/19,16756,WBY2Z2C53EVX64144
29102596,Phone Up,Website,,3/18/19,16618B,WBANB33574B110804
29115879,Phone Up,CarGurus,,3/18/19,16728,WP1AF2A59GLB93233
27334149,Internet Up,Autotrader.com,,3/17/19,16747,WBS6E9C54GG393731
28485520,Phone Up,Autotrader,,3/17/19,16733,WBS6E9C57GG393741
7102288,Phone Up,Previous Buyer,,3/16/19,16727,WP0AF2A76GL081024
26185178,Showroom Up,Previous Buyer,,3/16/19,16493,WP0AB2A77GL050263
26710076,Phone Up,CarGurus,,3/16/19,16720,ZAM39FKA8A0051092
28316808,Internet Up,CarGurus,CarGurus,3/15/19,15592,WP0AB29902S686611
28914865,Phone Up,CarGurus,,3/15/19,16513,JTHB51FFXJ5001994
28970552,Phone Up,CarGurus,,3/15/19,16705A,2G1125S36E9219215
29120918,Showroom Up,other,,3/15/19,16513,JTHB51FFXJ5001994
11966819,Showroom Up,other,,3/14/19,16669A,4F2YU09152KM23988
28969237,Phone Up,CarGurus,,3/14/19,16680,WBA8E5G54GNT95023
28759470,Phone Up,CarGurus,,3/13/19,16693A,WDDHF5GBXBA422463
28990238,Showroom Up,other,,3/12/19,16693A,WDDHF5GBXBA422463
29120916,Showroom Up,other,,3/12/19,16537A,2C3CCAET5FH808298
27968139,Phone Up,CarGurus,,3/11/19,16436,ZHWGU11M14LA00520
28664834,Internet Up,Autotrader.com,,3/11/19,16574,WBA5B1C53GG132374
28672999,Phone Up,CarGurus,,3/11/19,16548B,WBAYA8C52EDS15396
28697105,Showroom Up,Autotrader,,3/11/19,16555,SCBBB7ZH1EC018942
28959066,Showroom Up,other,,3/11/19,16555,SCBBB7ZH1EC018942
28011767,Internet Up,CarGurus,CarGurus,3/9/19,16573,WBA3R1C55GK529214
28567139,Internet Up,Autotrader.com,,3/9/19,16704,5UXWX7C58G0R17430
28569028,Internet Up,Autotrader.com,,3/9/19,16567,ZAM45KMA8C0064627
